PS C:\temp\git> get-filehash *

Algorithm       Hash                                                                   Path
---------       ----                                                                   ----
SHA256          3465BD80762F4BE126B46D2AF44C33583F6B6F0153361A33E8FD509C510FFDD4       C:\temp\git\amber.docx
SHA256          68F7C122C463EFFC3DF2A1A980195F0C13481AB8E011B104DFA9B908B79FF510       C:\temp\git\annelore.docx
SHA256          9DE46D2F068A72FCBEB01A97599F0172706836D71E0AE6AF400125616B9F8CB6       C:\temp\git\bruce.docx
SHA256          3BFC1B90201A15B28E720CDF3202AB59A0BBD7B70C792C77D6ECB0AA6BEF57E7       C:\temp\git\doctors.docx
SHA256          3CA72E2206D2E256DF6A19170ACF0AA0189FADD770CEAAE672A372310829B7C5       C:\temp\git\doctors2.docx
SHA256          3AA82257E42DA3718BF804D237278D87472C452B41D166A7199EBDD93264C918       C:\temp\git\isobel.docx
SHA256          FF71B594276C160B62BF9FC60D60259039B5CB553C94BCB750710A8C03E51E33       C:\temp\git\kalamazoo.docx
SHA256          4BD52F620BE703708AE756675D494895319F9C400BE4506F5B281F701010E5A6       C:\temp\git\mar25.docx
SHA256          3A956A064B5E9B92CF61DB8EF632725145332FAFC0454719FBAAACA6E6EA1ED3       C:\temp\git\redcross.docx
